2023/07/06 - 08:11:05		auto	GETACK	Appliance.System.All	{"system": {"hardware": {"type": "msg100", "subType": "us", "version": "3.5.0", "chipType": "mt7682", "uuid": "###############################0", "macAddress": "################0"}, "firmware": {"version": "3.2.5", "compileTime": "2021/09/16 13:47:36 GMT +08:00", "encrypt": 1, "wifiMac": "################0", "innerIp": "###########0", "server": "###########0", "port": "@0", "userId": "@0"}, "time": {"timestamp": 1688645444, "timezone": "", "timeRule": []}, "online": {"status": 1}}, "digest": {"togglex": [{"channel": 0, "onoff": 1, "lmTime": 0}], "triggerx": [], "timerx": [], "garageDoor": [{"channel": 0, "open": 0, "lmTime": 1688645367}]}}
2023/07/06 - 08:11:05		auto	GETACK	Appliance.System.Ability	{"Appliance.Config.Key": {}, "Appliance.Config.WifiList": {}, "Appliance.Config.Wifi": {}, "Appliance.Config.WifiX": {}, "Appliance.Config.Trace": {}, "Appliance.System.All": {}, "Appliance.System.Hardware": {}, "Appliance.System.Firmware": {}, "Appliance.System.Debug": {}, "Appliance.System.Online": {}, "Appliance.System.Time": {}, "Appliance.System.Clock": {}, "Appliance.System.Ability": {}, "Appliance.System.Runtime": {}, "Appliance.System.Report": {}, "Appliance.System.Position": {}, "Appliance.System.DNDMode": {}, "Appliance.Control.Multiple": {"maxCmdNum": 5}, "Appliance.Control.ToggleX": {}, "Appliance.Control.TimerX": {"sunOffsetSupport": 1, "notify": ["Appliance.GarageDoor.State"]}, "Appliance.Control.TriggerX": {"notify": ["Appliance.GarageDoor.State"]}, "Appliance.Control.Bind": {}, "Appliance.Control.Unbind": {}, "Appliance.Control.Upgrade": {}, "Appliance.GarageDoor.State": {}, "Appliance.GarageDoor.Config": {}, "Appliance.Digest.TriggerX": {}, "Appliance.Digest.TimerX": {}}
2023/07/06 - 08:11:14		auto	LOG	DEBUG	polling start
2023/07/06 - 08:11:14		auto	LOG	DEBUG	polling end
